STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-17,0,0,0,80,48,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-18,0,0,0,82,44,53
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-19,0,0,0,84,44,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-20,0,0,0,84,46,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-21,0,0,0,83,48,55
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-22,0.17,0,0,80,52,62
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-23,0.2,0,0,75,50,60
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-24,0.32,0,0,70,45,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-25,0.04,0,0,74,46,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-26,0.02,0,0,70,46,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-27,0.16,0,0,72,45,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-28,0.24,0,0,75,46,51
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-29,0.06,0,0,70,44,53
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-30,0,0,0,74,45,54
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-31,0,0,0,82,46,55
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-01,0.1,0,0,74,52,58
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-02,0.06,0,0,68,50,56
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-03,0.02,0,0,78,46,49
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-04,0,0,0,74,48,57
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-05,0,0,0,76,46,55
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-06,0,0,0,76,44,56
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-07,0,0,0,74,43,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-08,0,0,0,78,44,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-09,0.02,0,0,76,48,57
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-10,0,0,0,76,46,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-11,0.48,0,0,70,50,54
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-12,0,0,0,66,45,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-13,0.02,0,0,73,46,54
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-14,0.08,0,0,75,43,47
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-15,0,0,0,72,41,47
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-16,0,0,0,74,43,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-17,0.32,0,0,75,44,46
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-18,0.02,0,0,68,45,47
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-19,0.08,0,0,66,43,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-20,0,0,0,68,42,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-21,0,0,0,69,38,43
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-22,0,0,0,72,41,43
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-23,0,0,0,80,42,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-24,0,0,0,76,40,42
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-25,0,0,0,75,42,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-08-26,0,0,0,77,41,50
